id,pseudo,age,imageUrl,aspectRatio,verified,bio,memberSince,reliability,events,friends,badges,city
ep7,julie.b,29,https://i.pravatar.cc/300?img=38,0.7,1,"Danse salsa et brunchs.",2020,4.4,11,25,Solaire,Meyrin
ep8,marc.l,35,https://i.pravatar.cc/300?img=15,0.82,0,"File d’attente démo — toujours ponctuel.",2017,4.0,30,48,Vétéran,Genève
ep9,lina.t,24,https://i.pravatar.cc/300?img=24,0.66,1,"Peinture et marchés locaux.",2024,4.5,4,10,Artiste,Carouge
ep10,noah.p,22,https://i.pravatar.cc/300?img=51,0.75,0,"Skate et musique électronique.",2023,3.9,6,14,Spontané,Vernier
ep11,zoe.m,26,https://i.pravatar.cc/300?img=47,0.71,1,"Yoga et méditation guidée.",2021,4.6,7,18,Zen,Plainpalais
ep12,manon.g,25,https://i.pravatar.cc/300?img=44,0.69,0,"Photo argentique et expos.",2022,4.3,5,11,Discrète,Genève
ep13,tom.r,34,https://i.pravatar.cc/300?img=13,0.9,1,"Bière artisanale et jeux de rôle.",2016,4.8,35,52,Hôte,Lyon
ep14,elise.c,23,https://i.pravatar.cc/300?img=26,0.65,1,"Mode vintage et brocantes.",2024,4.2,3,9,Stylée,Annemasse
ep15,ben.w,29,https://i.pravatar.cc/300?img=55,0.77,0,"Crossfit et nutrition.",2020,4.5,12,22,Motivé,Lausanne
ep16,clara.b,28,https://i.pravatar.cc/300?img=32,0.73,1,"Liste d’attente démo — patiente et cool.",2021,4.5,8,20,Patient|Cool,Genève
ep17,theo.h,27,https://i.pravatar.cc/300?img=60,0.79,0,"DJ amateur et soirées.",2019,4.1,15,28,Nocturne,Genève
ep18,nina.s,21,https://i.pravatar.cc/300?img=41,0.64,1,"Études et bénévolat.",2024,4.0,2,7,Engagée,Onex
ep19,axel.j,33,https://i.pravatar.cc/300?img=71,0.86,1,"Escalade indoor et grimpeurs.",2018,4.7,20,33,Grimpeur,Sion
ep20,jade.f,24,https://i.pravatar.cc/300?img=27,0.68,0,"Cuisine végétarienne et marchés.",2022,4.4,6,15,Gourmande,Genève
ep21,romain.c,36,https://i.pravatar.cc/300?img=36,0.84,1,"Histoire locale et visites guidées.",2015,4.6,40,55,Conteur,Vevey
ep22,lilou.n,20,https://i.pravatar.cc/300?img=48,0.62,0,"Étudiante en arts — sorties musées.",2025,3.8,1,5,Novice,Genève
ep23,gabin.e,30,https://i.pravatar.cc/300?img=58,0.76,1,"Cinéma indé et festivals.",2020,4.3,10,19,Cinéphile,Lausanne
ep24,rose.a,26,https://i.pravatar.cc/300?img=31,0.7,1,"Lecture et randos douces.",2021,4.5,9,17,Lectrice,Morges
